,id,city,state,zip,region,gradeWalking,avgDaysOfEnjoyableWeather,avgInternetSpeed,avgPopulationDensity,percentDemocrat,percentGraduates,percentIndependent,percentNonReligious,percentReligious,percentRepublican,percentSingle,avgHomePrice,avgCostOfLiving,gradeAirQuality,gradeLowTraffic,gradeSafety,lat,lon,pizzaPlaceTotal,pizzaRatingAvg
0,70,Honolulu,HI,96817,West,62.6,114,45,4419,0.69,0.31,0.01,0.67,0.33,0.3,0.5,500000,40079,5.25,2.75,3.0,21.3069444,-157.8583333,103,3.89
1,484,Homestead,FL,33033,South,35.0,68,36,413,0.62,0.17,0.01,0.6,0.4,0.38,0.59,202500,23702,4.75,1.0,1.0,25.4687224,-80.4775569,101,3.99
2,315,Miami,FL,33186,South,75.6,70,33,3486,0.62,0.23,0.01,0.6,0.4,0.38,0.64,270000,23702,4.75,1.75,1.0,25.7616798,-80.1917902,127,4.28
3,86,Miami Beach,FL,33139,South,71.0,70,29,10812,0.62,0.48,0.01,0.6,0.4,0.38,0.6,418500,23702,4.75,2.25,1.0,25.790654,-80.1300455,137,4.16
4,319,Hialeah,FL,33012,South,65.2,70,30,6984,0.62,0.15,0.01,0.6,0.4,0.38,0.57,225000,23702,4.75,2.25,3.25,25.8575963,-80.2781057,155,4.28
5,395,Brownsville,TX,78521,South,43.0,63,16,1126,0.66,0.18,0.01,0.47,0.53,0.33,0.5,79000,16777,2.0,4.25,2.25,25.9017472,-97.4974838,84,4.01
6,451,Miramar,FL,33025,South,28.0,68,28,4114,0.67,0.27,0.01,0.54,0.46,0.32,0.56,270000,23366,4.75,1.0,3.75,25.9860762,-80.30356019999999,163,4.23
7,399,Pembroke Pines,FL,33028,South,30.0,70,29,4643,0.67,0.34,0.01,0.54,0.46,0.32,0.48,264500,23576,4.75,1.0,3.75,26.007765,-80.2962555,154,4.24
8,398,Hollywood,FL,33024,South,50.0,68,34,4927,0.67,0.26,0.01,0.54,0.46,0.32,0.58,235500,28817,4.75,1.0,2.0,26.0112014,-80.1494901,160,4.27
9,254,Fort Lauderdale,FL,33311,South,54.0,68,33,3518,0.67,0.34,0.01,0.54,0.46,0.32,0.63,267000,24186,4.75,2.75,1.0,26.1224386,-80.13731740000001,150,4.27
10,2,Naples,FL,34116,South,34.0,97,41,485,0.35,0.49,0.01,0.63,0.37,0.65,0.38,308500,19282,3.75,5.25,3.25,26.1420358,-81.7948103,113,4.17
11,330,Mcallen,TX,78501,South,49.0,62,19,2634,0.7,0.25,0.01,0.5,0.5,0.29,0.48,121000,16251,1.0,3.75,2.75,26.2034071,-98.23001239999999,105,4.09
12,426,Mission,TX,78572,South,38.0,62,16,981,0.7,0.27,0.01,0.5,0.5,0.29,0.42,120000,16251,1.0,3.25,3.0,26.2159066,-98.32529319999999,100,4.04
13,350,Pompano Beach,FL,33064,South,44.0,68,31,4423,0.67,0.23,0.01,0.54,0.46,0.32,0.61,162000,20376,4.75,2.25,1.0,26.2378597,-80.1247667,138,4.32
14,332,Coral Springs,FL,33075,South,36.0,66,29,5089,0.67,0.38,0.01,0.54,0.46,0.32,0.51,315000,23576,4.75,1.75,4.0,26.271192,-80.2706044,158,4.23
15,425,Edinburg,TX,78542,South,28.0,58,16,289,0.7,0.28,0.01,0.5,0.5,0.29,0.51,132000,16251,1.0,2.75,1.75,26.3017374,-98.1633432,97,4.1
16,61,Boca Raton,FL,33433,South,36.0,68,33,3115,0.58,0.51,0.01,0.44,0.56,0.41,0.52,320000,20208,4.75,5.0,3.75,26.3683064,-80.1289321,145,4.27
17,212,Delray Beach,FL,33445,South,36.0,68,38,2419,0.58,0.35,0.01,0.44,0.56,0.41,0.59,176000,20376,4.75,3.25,1.0,26.4614625,-80.0728201,136,4.26
18,361,Boynton Beach,FL,33436,South,33.0,68,37,2811,0.58,0.26,0.01,0.44,0.56,0.41,0.59,230000,20376,1.75,2.25,2.0,26.5317866,-80.0905465,138,4.26
19,445,Cape Coral,FL,33914,South,15.0,94,30,1163,0.41,0.19,0.01,0.62,0.38,0.58,0.47,206500,19366,4.75,1.0,4.0,26.5628537,-81.9495331,117,4.15
20,374,Lake Worth,FL,33463,South,54.0,71,32,3154,0.58,0.2,0.01,0.45,0.55,0.41,0.65,220000,21808,4.75,1.0,1.0,26.6167555,-80.0684479,118,4.23
21,424,Fort Myers,FL,33908,South,36.0,87,33,901,0.41,0.24,0.01,0.62,0.38,0.58,0.59,206505,24186,4.75,2.0,2.25,26.640628,-81.8723084,117,4.05
22,280,West Palm Beach,FL,33411,South,38.0,74,38,2148,0.58,0.32,0.01,0.44,0.56,0.41,0.64,198000,20208,4.75,3.0,1.75,26.7153424,-80.0533746,128,4.21
23,442,Port Saint Lucie,FL,34953,South,13.0,75,37,937,0.54,0.24,0.01,0.61,0.39,0.46,0.46,187000,18945,4.0,1.0,4.25,27.2730492,-80.3582261,102,4.25
24,92,Sarasota,FL,34232,South,49.0,102,37,1044,0.46,0.31,0.01,0.53,0.47,0.53,0.61,250000,21808,3.75,4.25,1.0,27.3364347,-82.53065269999999,116,4.15
25,455,Fort Pierce,FL,34982,South,35.0,75,32,266,0.54,0.15,0.0,0.61,0.39,0.46,0.58,137950,24186,4.75,3.25,1.0,27.4467056,-80.3256056,115,4.18
26,218,Bradenton,FL,34203,South,36.0,102,41,1439,0.43,0.22,0.01,0.64,0.36,0.56,0.56,215500,19282,3.75,3.75,2.25,27.4989278,-82.5748194,119,4.13
27,437,Laredo,TX,78046,South,43.8,55,18,180,0.77,0.17,0.01,0.26,0.74,0.23,0.49,125000,17682,1.0,3.75,2.25,27.5035613,-99.5075519,80,4.04
28,98,Vero Beach,FL,32962,South,74.0,78,35,264,0.39,0.32,0.01,0.49,0.51,0.61,0.56,174000,21239,4.75,5.0,3.0,27.6386434,-80.39727359999999,94,4.17
29,72,Saint Petersburg,FL,33710,South,40.5,96,42,4035,0.52,0.29,0.01,0.65,0.35,0.47,0.59,166000,19492,3.75,3.25,1.0,27.7676008,-82.64029149999999,129,4.15
30,318,Corpus Christi,TX,78415,South,35.7,97,34,1156,0.48,0.2,0.01,0.44,0.56,0.51,0.53,130000,20019,2.0,4.0,1.75,27.8005828,-97.39638099999999,79,3.84
