,city,state,zip,region,gradeWalking,avgDaysOfEnjoyableWeather,avgInternetSpeed,avgPopulationDensity,percentDemocrat,percentGraduates,percentIndependent,percentNonReligious,percentReligious,percentRepublican,percentSingle,avgHomePrice,avgCostOfLiving,gradeAirQuality,gradeLowTraffic,gradeSafety,lat,lon,pizzaPlaceTotal,pizzaRatingAvg,group
0,Honolulu,HI,96817,West,0.6045977011494253,0.5766871165644173,0.22448979591836737,0.059698658746626526,0.7108433734939759,0.3561643835616438,0.2,0.8815789473684211,0.11842105263157898,0.2926829268292683,0.37777777777777777,0.21992372587541895,0.7726830533757053,1.0,0.411764705882353,0.4705882352941176,21.3069444,-157.8583333,103,3.89,0
1,Homestead,FL,33033,South,0.28735632183908044,0.294478527607362,0.163265306122449,0.005370438178933236,0.6265060240963856,0.16438356164383564,0.2,0.7894736842105263,0.21052631578947373,0.39024390243902435,0.5777777777777777,0.08239916791864094,0.24161748492120105,0.8823529411764706,0.0,0.0,25.468722399999997,-80.4775569,101,3.99,0
2,Miami,FL,33186,South,0.7540229885057471,0.3067484662576687,0.14285714285714285,0.04704558091595807,0.6265060240963856,0.2465753424657534,0.2,0.7894736842105263,0.21052631578947373,0.39024390243902435,0.6888888888888889,0.11360221888362418,0.24161748492120105,0.8823529411764706,0.1764705882352941,0.0,25.7616798,-80.1917902,127,4.28,0
3,Miami Beach,FL,33139,South,0.7011494252873564,0.3067484662576687,0.11564625850340136,0.14639868722622293,0.6265060240963856,0.5890410958904109,0.2,0.7894736842105263,0.21052631578947373,0.39024390243902435,0.5999999999999999,0.18224893100658732,0.24161748492120105,0.8823529411764706,0.29411764705882354,0.0,25.790654,-80.1300455,137,4.16,1
4,Hialeah,FL,33012,South,0.6344827586206897,0.3067484662576687,0.12244897959183675,0.09448445149653499,0.6265060240963856,0.136986301369863,0.2,0.7894736842105263,0.21052631578947373,0.39024390243902435,0.5333333333333332,0.09280018490696869,0.24161748492120105,0.8823529411764706,0.29411764705882354,0.5294117647058822,25.8575963,-80.2781057,155,4.28,0
5,Brownsville,TX,78521,South,0.3793103448275862,0.26380368098159507,0.0272108843537415,0.015039939243527674,0.6746987951807228,0.1780821917808219,0.2,0.618421052631579,0.3815789473684211,0.32926829268292684,0.37777777777777777,0.02530914133826418,0.017056877877942744,0.23529411764705882,0.7647058823529411,0.29411764705882354,25.9017472,-97.4974838,84,4.01,2
6,Miramar,FL,33025,South,0.20689655172413793,0.294478527607362,0.10884353741496598,0.05556233641184209,0.6867469879518071,0.3013698630136986,0.2,0.7105263157894738,0.2894736842105264,0.3170731707317073,0.5111111111111113,0.11360221888362418,0.2307218366949867,0.8823529411764706,0.0,0.6470588235294117,25.9860762,-80.30356019999998,163,4.23,0
7,Pembroke Pines,FL,33028,South,0.2298850574712644,0.3067484662576687,0.11564625850340136,0.0627364823629928,0.6867469879518071,0.3972602739726028,0.2,0.7105263157894738,0.2894736842105264,0.3170731707317073,0.33333333333333326,0.11105974806425517,0.2375316168363707,0.8823529411764706,0.0,0.6470588235294117,26.007765,-80.2962555,154,4.24,0
8,Hollywood,FL,33024,South,0.45977011494252873,0.294478527607362,0.14965986394557823,0.0665880087337429,0.6867469879518071,0.2876712328767123,0.2,0.7105263157894738,0.2894736842105264,0.3170731707317073,0.5555555555555554,0.09765399283485497,0.4074842726506258,0.8823529411764706,0.0,0.23529411764705882,26.0112014,-80.1494901,160,4.27,0
9,Fort Lauderdale,FL,33311,South,0.5057471264367817,0.294478527607362,0.14285714285714285,0.04747955571829611,0.6867469879518071,0.3972602739726028,0.2,0.7105263157894738,0.2894736842105264,0.3170731707317073,0.6666666666666667,0.11221541661851381,0.2573124067708671,0.8823529411764706,0.411764705882353,0.0,26.122438600000002,-80.13731740000001,150,4.27,0
