id,city,state,zip,region,gradeWalking,avgDaysOfEnjoyableWeather,avgInternetSpeed,avgPopulationDensity,percentDemocrat,percentGraduates,percentIndependent,percentNonReligious,percentReligious,percentRepublican,percentSingle,avgHomePrice,avgCostOfLiving,gradeAirQuality,gradeLowTraffic,gradeSafety,lat,lon,pizzaPlaceTotal,pizzaRatingAvg,group
0,Honolulu,HI,96817,West,0.604597701,0.576687117,0.224489796,0.059698659,0.710843373,0.356164384,0.2,0.881578947,0.118421053,0.292682927,0.377777778,0.219923726,0.772683053,1,0.411764706,0.470588235,21.3069444,-157.8583333,103,3.89,1
1,Homestead,FL,33033,South,0.287356322,0.294478528,0.163265306,0.005370438,0.626506024,0.164383562,0.2,0.789473684,0.210526316,0.390243902,0.577777778,0.082399168,0.241617485,0.882352941,0,0,25.4687224,-80.4775569,101,3.99,0
2,Miami,FL,33186,South,0.754022989,0.306748466,0.142857143,0.047045581,0.626506024,0.246575342,0.2,0.789473684,0.210526316,0.390243902,0.688888889,0.113602219,0.241617485,0.882352941,0.176470588,0,25.7616798,-80.1917902,127,4.28,0
3,Miami Beach,FL,33139,South,0.701149425,0.306748466,0.115646259,0.146398687,0.626506024,0.589041096,0.2,0.789473684,0.210526316,0.390243902,0.6,0.182248931,0.241617485,0.882352941,0.294117647,0,25.790654,-80.1300455,137,4.16,1
4,Hialeah,FL,33012,South,0.634482759,0.306748466,0.12244898,0.094484451,0.626506024,0.136986301,0.2,0.789473684,0.210526316,0.390243902,0.533333333,0.092800185,0.241617485,0.882352941,0.294117647,0.529411765,25.8575963,-80.2781057,155,4.28,0
5,Brownsville,TX,78521,South,0.379310345,0.263803681,0.027210884,0.015039939,0.674698795,0.178082192,0.2,0.618421053,0.381578947,0.329268293,0.377777778,0.025309141,0.017056878,0.235294118,0.764705882,0.294117647,25.9017472,-97.4974838,84,4.01,0
6,Miramar,FL,33025,South,0.206896552,0.294478528,0.108843537,0.055562336,0.686746988,0.301369863,0.2,0.710526316,0.289473684,0.317073171,0.511111111,0.113602219,0.230721837,0.882352941,0,0.647058824,25.9860762,-80.3035602,163,4.23,1
7,Pembroke Pines,FL,33028,South,0.229885057,0.306748466,0.115646259,0.062736482,0.686746988,0.397260274,0.2,0.710526316,0.289473684,0.317073171,0.333333333,0.111059748,0.237531617,0.882352941,0,0.647058824,26.007765,-80.2962555,154,4.24,1
8,Hollywood,FL,33024,South,0.459770115,0.294478528,0.149659864,0.066588009,0.686746988,0.287671233,0.2,0.710526316,0.289473684,0.317073171,0.555555556,0.097653993,0.407484273,0.882352941,0,0.235294118,26.0112014,-80.1494901,160,4.27,1
9,Fort Lauderdale,FL,33311,South,0.505747126,0.294478528,0.142857143,0.047479556,0.686746988,0.397260274,0.2,0.710526316,0.289473684,0.317073171,0.666666667,0.112215417,0.257312407,0.882352941,0.411764706,0,26.1224386,-80.1373174,150,4.27,1
10,Naples,FL,34116,South,0.275862069,0.472392638,0.197278912,0.006346881,0.301204819,0.602739726,0.2,0.828947368,0.171052632,0.719512195,0.111111111,0.131399515,0.098287827,0.647058824,1,0.529411765,26.1420358,-81.7948103,113,4.17,0
11,Mcallen,TX,78501,South,0.448275862,0.257668712,0.047619048,0.035491002,0.722891566,0.273972603,0.2,0.657894737,0.342105263,0.280487805,0.333333333,0.044724373,0,0,0.647058824,0.411764706,26.2034071,-98.2300124,105,4.09,0
12,Mission,TX,78572,South,0.32183908,0.257668712,0.027210884,0.013073491,0.722891566,0.301369863,0.2,0.657894737,0.342105263,0.280487805,0.2,0.044262106,0,0,0.529411765,0.470588235,26.2159066,-98.3252932,100,4.04,0
13,Pompano Beach,FL,33064,South,0.390804598,0.294478528,0.129251701,0.059752906,0.686746988,0.246575342,0.2,0.710526316,0.289473684,0.317073171,0.622222222,0.063677337,0.133763538,0.882352941,0.294117647,0,26.2378597,-80.1247667,138,4.32,0
14,Coral Springs,FL,33075,South,0.298850575,0.282208589,0.115646259,0.068785006,0.686746988,0.452054795,0.2,0.710526316,0.289473684,0.317073171,0.4,0.134404253,0.237531617,0.882352941,0.176470588,0.705882353,26.271192,-80.2706044,158,4.23,1
15,Edinburg,TX,78542,South,0.206896552,0.233128834,0.027210884,0.003688786,0.722891566,0.315068493,0.2,0.657894737,0.342105263,0.280487805,0.4,0.049809315,0,0,0.411764706,0.176470588,26.3017374,-98.1633432,97,4.1,0
16,Boca Raton,FL,33433,South,0.298850575,0.294478528,0.142857143,0.042014186,0.578313253,0.630136986,0.2,0.578947368,0.421052632,0.426829268,0.422222222,0.13671559,0.128315714,0.882352941,0.941176471,0.647058824,26.3683064,-80.1289321,145,4.27,0
17,Delray Beach,FL,33445,South,0.298850575,0.294478528,0.176870748,0.032575234,0.578313253,0.410958904,0.2,0.578947368,0.421052632,0.426829268,0.577777778,0.070149081,0.133763538,0.882352941,0.529411765,0,26.4614625,-80.0728201,136,4.26,0
18,Boynton Beach,FL,33436,South,0.264367816,0.294478528,0.170068027,0.037891425,0.578313253,0.287671233,0.2,0.578947368,0.421052632,0.426829268,0.577777778,0.095111522,0.133763538,0.176470588,0.294117647,0.235294118,26.5317866,-80.0905465,138,4.26,0
19,Cape Coral,FL,33914,South,0.057471264,0.45398773,0.12244898,0.015541723,0.373493976,0.191780822,0.2,0.815789474,0.184210526,0.634146341,0.311111111,0.084248238,0.101011739,0.882352941,0,0.705882353,26.5628537,-81.9495331,117,4.15,0
20,Lake Worth,FL,33463,South,0.505747126,0.312883436,0.136054422,0.042543092,0.578313253,0.205479452,0.2,0.592105263,0.407894737,0.426829268,0.711111111,0.090488848,0.180199754,0.882352941,0,0,26.6167555,-80.0684479,118,4.23,0
21,Fort Myers,FL,33908,South,0.298850575,0.411042945,0.142857143,0.011988554,0.373493976,0.260273973,0.2,0.815789474,0.184210526,0.634146341,0.577777778,0.084250549,0.257312407,0.882352941,0.235294118,0.294117647,26.640628,-81.8723084,117,4.05,0
22,West Palm Beach,FL,33411,South,0.32183908,0.331288344,0.176870748,0.028900009,0.578313253,0.369863014,0.2,0.578947368,0.421052632,0.426829268,0.688888889,0.080318965,0.128315714,0.882352941,0.470588235,0.176470588,26.7153424,-80.0533746,128,4.21,0
23,Port Saint Lucie,FL,34953,South,0.034482759,0.337423313,0.170068027,0.012476776,0.530120482,0.260273973,0.2,0.802631579,0.197368421,0.487804878,0.288888889,0.075234023,0.087359751,0.705882353,0,0.764705882,27.2730492,-80.3582261,102,4.25,0
24,Sarasota,FL,34232,South,0.448275862,0.503067485,0.170068027,0.013927879,0.43373494,0.356164384,0.2,0.697368421,0.302631579,0.573170732,0.622222222,0.10435687,0.180199754,0.647058824,0.764705882,0,27.3364347,-82.5306527,116,4.15,0
25,Fort Pierce,FL,34982,South,0.287356322,0.337423313,0.136054422,0.003376866,0.530120482,0.136986301,0,0.802631579,0.197368421,0.487804878,0.555555556,0.052559806,0.257312407,0.882352941,0.529411765,0,27.4467056,-80.3256056,115,4.18,0
26,Bradenton,FL,34203,South,0.298850575,0.503067485,0.197278912,0.019284755,0.397590361,0.232876712,0.2,0.842105263,0.157894737,0.609756098,0.511111111,0.088408644,0.098287827,0.647058824,0.647058824,0.294117647,27.4989278,-82.5748194,119,4.13,0
27,Laredo,TX,78046,South,0.388505747,0.214723926,0.040816327,0.002210559,0.807228916,0.164383562,0.2,0.342105263,0.657894737,0.207317073,0.355555556,0.046573443,0.046403788,0,0.647058824,0.294117647,27.5035613,-99.5075519,80,4.04,0
28,Vero Beach,FL,32962,South,0.735632184,0.355828221,0.156462585,0.003349743,0.34939759,0.369863014,0.2,0.644736842,0.355263158,0.670731707,0.511111111,0.069224546,0.161748492,0.882352941,0.941176471,0.470588235,27.6386434,-80.3972736,94,4.17,0
29,Saint Petersburg,FL,33710,South,0.350574713,0.466257669,0.204081633,0.054490961,0.506024096,0.328767123,0.2,0.855263158,0.144736842,0.5,0.577777778,0.065526407,0.105097607,0.647058824,0.529411765,0,27.7676008,-82.6402915,129,4.15,0
30,Corpus Christi,TX,78415,South,0.295402299,0.472392638,0.149659864,0.015446791,0.457831325,0.205479452,0.2,0.578947368,0.421052632,0.548780488,0.444444444,0.04888478,0.122186912,0.235294118,0.705882353,0.176470588,27.8005828,-97.396381,79,3.84,0
31,Largo,FL,33771,South,0.367816092,0.466257669,0.204081633,0.057555908,0.506024096,0.191780822,0.2,0.855263158,0.144736842,0.5,0.511111111,0.060649486,0.128315714,0.647058824,0.470588235,0.411764706,27.9094665,-82.7873244,122,4.24,0
32,Tampa,FL,33647,South,0.417241379,0.380368098,0.163265306,0.039003485,0.518072289,0.397260274,0.2,0.763157895,0.236842105,0.487804878,0.644444444,0.083554836,0.105097607,0.647058824,0.529411765,0.529411765,27.950575,-82.4571776,134,4.15,0
33,Clearwater,FL,33756,South,0.356321839,0.466257669,0.183673469,0.046489551,0.506024096,0.356164384,0.2,0.855263158,0.144736842,0.5,0.533333333,0.066219808,0.105097607,0.647058824,0.470588235,0.294117647,27.9658533,-82.8001026,127,4.24,0
34,Winter Haven,FL,33880,South,0.172413793,0.417177914,0.204081633,0.015161995,0.43373494,0.178082192,0.2,0.763157895,0.236842105,0.573170732,0.511111111,0.055818791,0.060055775,0.647058824,0.294117647,0.235294118,28.0222435,-81.7328567,122,4.01,0
35,Palm Bay,FL,32907,South,0,0.411042945,0.19047619,0.015528161,0.397590361,0.205479452,0.2,0.802631579,0.197368421,0.609756098,0.444444444,0.054431989,0.128315714,0.941176471,0.235294118,0.705882353,28.0344621,-80.5886646,91,4.17,0
36,Lakeland,FL,33810,South,0.264367816,0.417177914,0.183673469,0.011852937,0.43373494,0.287671233,0.2,0.763157895,0.236842105,0.573170732,0.555555556,0.065942448,0.44983462,0.647058824,0.882352941,0,28.0394654,-81.9498042,91,4.01,1
37,Melbourne,FL,32935,South,0.183908046,0.411042945,0.163265306,0.009276211,0.397590361,0.260273973,0.2,0.802631579,0.197368421,0.609756098,0.533333333,0.055818791,0.080549971,0.941176471,0.705882353,0.176470588,28.0836269,-80.6081089,100,4.2,0
38,New Port Richey,FL,34655,South,0.528735632,0.380368098,0.197278912,0.016545289,0.43373494,0.082191781,0.2,0.907894737,0.092105263,0.573170732,0.577777778,0.047497978,0.101011739,0.647058824,0.294117647,0.176470588,28.2441768,-82.7192671,124,4.18,0
39,Kissimmee,FL,34744,South,0.195402299,0.386503067,0.156462585,0.012232665,0.626506024,0.136986301,0.2,0.934210526,0.065789474,0.37804878,0.577777778,0.066913209,0.144010636,0.882352941,0.176470588,0.176470588,28.2919557,-81.407571,145,4.12,0
40,Orlando,FL,32828,South,0.336781609,0.441717791,0.136054422,0.025048483,0.590361446,0.383561644,0.2,0.789473684,0.210526316,0.414634146,0.688888889,0.081243499,0.144010636,0.882352941,0.294117647,0,28.5383355,-81.3792365,147,4.22,0
41,Ocala,FL,34472,South,0.183908046,0.36809816,0.12244898,0.006780856,0.373493976,0.260273973,0.2,0.868421053,0.131578947,0.634146341,0.555555556,0.043799838,0.108534924,0.647058824,0.764705882,0,29.1871986,-82.1400923,94,4.16,0
42,Daytona Beach,FL,32114,South,0.264367816,0.435582822,0.170068027,0.015541723,0.469879518,0.205479452,0.2,0.828947368,0.171052632,0.536585366,0.8,0.04913348,0.133763538,0.882352941,0.764705882,0,29.2108147,-81.0228331,95,4.01,0
